from_date,department,section,barcode,item_num,item_description,purshase_price,selling_price,quantity
19-Feb,2,52,2133000000000.0,31776,CHICKEN BREAST FILLET/KG,98.0,108.95,5.433
19-Feb,2,57,2000000000000.0,361939,WATER 600 ML,1.637,4.0,69.0
19-Feb,2,52,6223000000000.0,337701,SHAHD SHISH TAWOOK 400GR,42.0,49.95,6.0
19-Feb,2,50,2110930000000.0,298974,BAGUETTE CHEDDAR SAND,7.0,9.95,1.0
19-Feb,2,51,2122710000000.0,30596,HALAWA CHOCOLATE,36.0,43.95,44.672
19-Feb,2,50,6224000000000.0,464422,DATES 200GM ALMOND,19.0,23.95,6.0
19-Feb,2,51,2122700000000.0,332646,HALAWA PISTACHIO,58.0,69.95,19.152
19-Feb,2,50,2111020000000.0,330823,GREEK SALAD,2.997,6.95,17.0
19-Feb,2,56,2176680000000.0,32761,A- GINGER,49.0,57.95,61.246
19-Feb,2,56,2176670000000.0,32882,A- POTATO SWEET,6.75,7.95,74.203
19-Feb,2,54,2155030000000.0,486521,N.WHITE LOAF BREAD,7.75,10.95,79.871
19-Feb,2,50,2111070000000.0,137737,KOFTA GRILLED/KG,84.8,120.95,2.088
19-Feb,2,57,2000000000000.0,357769,TEA GREEN JASMINE,1.95,7.0,1.0
19-Feb,2,57,2000000000000.0,361976,SCHWEPPES SODA 300ML,4.46,7.0,1.0
19-Feb,2,52,2133010000000.0,31784,CHICKEN WINGS/KG,32.0,35.95,1.125
19-Feb,2,56,2176510000000.0,32615,A- CAPSICUM RED,16.0,18.95,442.501
19-Feb,2,52,2133500000000.0,426178,BEEF MINCE,84.0,89.95,216.871
19-Feb,2,56,6224010000000.0,32603,CABBAGE BALADY,8.0,11.95,22.0
19-Feb,2,50,2110550000000.0,389592,ABA SALTED CORN,72.336,109.95,3.471
19-Feb,2,51,2122620000000.0,344176,EMMENTAL,155.0,239.95,0.288
19-Feb,2,51,2122070000000.0,327042,BRAMILY CHEESE,46.0,46.95,261.418
19-Feb,2,54,2155020000000.0,486517,N.VIENNA MINI,1.1,1.6,700.0
19-Feb,2,56,2000000000000.0,32585,ARTICHOKE,3.85,4.75,44.0
19-Feb,2,50,2110500000000.0,389730,BLACK LENTILS SAMO,17.963,23.95,25.618
19-Feb,2,54,2155030000000.0,486523,N.KRAFTKORN  300GR,12.25,17.95,18.822
19-Feb,2,55,2165950000000.0,299515,MUFFIN CHOCOLATE X6,13.178,26.95,34.0
19-Feb,2,51,2122090000000.0,345956,CHEESE BRAMILY FRESH,21.21,29.95,0.618
19-Feb,2,50,2110060000000.0,372230,RICH BEEF LUNCHEON/BLACK PEPPER,80.0,90.95,19.293
19-Feb,2,56,6224010000000.0,218900,ICEBERG PC,2.25,2.5,489.0
19-Feb,2,50,2111020000000.0,330825,GREEN SALAD,3.325,6.95,58.0
19-Feb,2,52,2133010000000.0,31827,CHICKEN BREAST BON IN LOSS,48.0,54.95,174.037
19-Feb,2,55,2000000000000.0,484555,VANILLA BISCUITS PACKET,15.5,24.95,7.0
19-Feb,2,55,2165930000000.0,299512,MUFFINS ASSORTED X12,25.358,44.95,10.0
19-Feb,2,51,2122710000000.0,30594,HALAWA HAZELNUT,53.0,64.95,15.207
19-Feb,2,50,2110460000000.0,389654,GRIND CUMIN,82.463,109.95,23.337
19-Feb,2,50,6224000000000.0,390600,DATES 400 GM ( FOAM PLATE),14.0,17.95,30.0
19-Feb,2,50,2110400000000.0,483567,GREEN OLIVES WITH JORDINIAN ZAATER,22.463,29.95,0.573
19-Feb,2,56,2176640000000.0,32634,A-CARROT,4.85,5.95,268.333
19-Feb,2,52,2133200000000.0,32334,BEEF SAUSAGE LOW FAT,93.84,112.95,40.561
19-Feb,2,50,2110580000000.0,389649,CRI CRI PEANUTS,48.713,64.95,12.003
19-Feb,2,51,2122700000000.0,332642,HALAWA MIXED NUTS,53.0,64.95,10.914
19-Feb,2,55,2165560000000.0,35490,BLACK FOREST 10 PERSONS,86.08,149.95,2.0
19-Feb,2,50,2110640000000.0,483106,TURKISH FIGS,111.809,169.95,8.366
19-Feb,2,54,2000000000000.0,360332,BATON SALE PLAIN PACKET,11.319,14.95,1.0
19-Feb,2,52,2133200000000.0,32332,BEEF BURGER,86.0,104.95,31.105
19-Feb,2,52,2133350000000.0,426236,BAL LAMB LEG,130.0,164.95,9.059
19-Feb,2,55,2165820000000.0,442958,TRIFLE,11.27,14.95,134.0
19-Feb,2,50,2110090000000.0,462274,ATYAB SMOKED BEEF,154.0,181.95,0.018
19-Feb,2,50,2110650000000.0,483117,MEAT SPICES 1 KG,59.962,79.95,13.317
19-Feb,2,56,2000000000000.0,43023,COCONUT,19.25,20.0,44.0
19-Feb,2,51,2122200000000.0,487176,KATILO MESH DOMYATE-KG,32.5,38.95,18.971
19-Feb,2,55,2165950000000.0,150196,PEANUT CHOCOLATE,49.0,79.95,4.555
19-Feb,2,54,2155060000000.0,35410,MEDIUM FINO X5,3.007,6.95,53.0
19-Feb,2,50,2110070000000.0,377731,ATYAB LNCHON BLACK PEPPER,86.0,95.95,0.272
19-Feb,2,55,2165570000000.0,119644,CHOCOLATE&FRUITS CAKE 8PERSONS,82.033,135.95,18.0
19-Feb,2,52,2133110000000.0,380642,CHICKEN LEG TANDOORY,43.0,47.95,0.534
19-Feb,2,50,2110490000000.0,389720,STONE CARNATION,224.963,299.95,3.384
19-Feb,2,56,6224000000000.0,447669,MUSHROOM 200GR,16.5,21.95,247.0
19-Feb,2,50,2110460000000.0,389660,GRIND CINNAMON,59.963,79.95,15.468
19-Feb,2,50,2110350000000.0,376762,OLIVETTA SPECIAL,14.165,19.95,39.551
19-Feb,2,50,2110360000000.0,490139,OLIVETTA PEPPER JALAPINO SLICED,56.765,79.95,1.304
19-Feb,2,53,2144160000000.0,173213,BIG TILAPIA 2-3PCS-KG,28.0,29.95,21.488
19-Feb,2,51,2122370000000.0,454288,GOUDA OLD CHEESE,286.0,329.95,0.177
19-Feb,2,50,2111080000000.0,104726,BALADI SAUSAGE/KG,96.0,137.95,16.698
19-Feb,2,50,2110050000000.0,372199,RICH BEEF LUNCHEON/OLIVES,80.0,90.95,18.523
19-Feb,2,50,2110600000000.0,411106,LUPINE,29.963,39.95,2.545
19-Feb,2,50,2111060000000.0,35125,PASTA BECHAMEL/KG,39.0,62.95,152.351
19-Feb,2,56,2000000000000.0,289236,STRAWBERRY PACKED 1KG,16.0,17.95,69.0
19-Feb,2,56,2176610000000.0,32588,A- AVOCADO,41.0,46.95,84.601
19-Feb,2,53,2144030000000.0,316012,PARROT FISH (HARED),85.0,124.95,1.0
19-Feb,2,56,2000000000000.0,32604,CAULIFLOWER,6.9,8.5,67.0
19-Feb,2,54,2155060000000.0,35408,LONG FINO X10,6.254,13.95,152.0
19-Feb,2,54,2000000000000.0,404417,PACKET BOUKSOMAT PLAIN LARGE,12.87,20.0,36.0
19-Feb,2,56,2000000000000.0,365352,BASIL BALADY 100GR,5.5,5.95,13.0
19-Feb,2,56,2176680000000.0,32762,A- ONION RED,6.3,7.95,441.9
19-Feb,2,52,6224000000000.0,477974,SABEEL LIVER&GIZZARD 1 KG,51.0,59.95,10.0
19-Feb,2,50,2110920000000.0,419644,MULLET GRILLED/KG,77.5,102.95,3.348
19-Feb,2,54,2155090000000.0,494259,N.CIMIT BREAD SMALL,4.5,5.95,140.0
19-Feb,2,53,2144140000000.0,33770,MEDIUM TILAPIA(3-4PC/K),24.75,25.0,164.273
19-Feb,2,50,2110620000000.0,483089,WAFFER,37.463,49.95,1.786
19-Feb,2,50,2111150000000.0,483587,STONE CHOCLATE,59.178,89.95,7.839
19-Feb,2,50,2111030000000.0,330829,PASTA CHICKEN SALAD,5.525,8.95,8.0
19-Feb,2,52,6224000000000.0,477964,SABEEL LEG 1KG,35.0,38.95,164.0
19-Feb,2,50,2111050000000.0,31032,TAGINE POTATOS/KG,26.0,57.95,7.332
19-Feb,2,56,2000000000000.0,33238,FENOKIA BALADY 100GR,3.0,5.95,3.0
19-Feb,2,50,2110640000000.0,483110,DRIED MANGO KG,210.493,319.95,14.001
19-Feb,2,51,2122540000000.0,441329,KIRI CHEESE HOT CHILI,43.0,50.95,13.983
19-Feb,2,56,2176470000000.0,395826,DATE ROTAAB,11.75,12.95,44.334
19-Feb,2,56,8023830000000.0,348222,A-KIWI 500GM PUNNET,14.5,14.95,6.0
19-Feb,2,50,2110490000000.0,389717,LAURIE,50.963,67.95,13.27
19-Feb,2,50,2110040000000.0,318617,HALWANI BL PEPPER BF LNCHON,77.44,80.0,46.974
19-Feb,2,50,2110120000000.0,318625,HALWANI TRKEY SMOKED,149.0,171.95,43.913
19-Feb,2,56,2176720000000.0,33693,JUICE MANGO 500ML,18.0,22.95,3.0
19-Feb,2,52,6223000000000.0,337696,SHAHD WHOLE CHICKEN 1400-1500,75.4,88.95,10.0
19-Feb,2,54,2155030000000.0,486520,N.MULTISEED BAGUETTE,5.9,8.95,143.0
19-Feb,2,52,2133480000000.0,31976,TESTICLES,88.0,103.95,0.138
19-Feb,2,50,2110350000000.0,376760,OLIVETTA GP LEAVES,24.815,34.95,31.74
19-Feb,2,50,2111080000000.0,31025,KOFTA DAWOOD BASHA/KG,73.0,105.95,24.312
19-Feb,2,56,2176510000000.0,32619,A-RED CHILI,14.0,16.95,58.012
19-Feb,2,50,2110530000000.0,411110,GROATS KRNAZY,22.463,29.95,13.11
19-Feb,2,56,2176750000000.0,284814,JUICE AVOCADO 250ML,19.5,22.95,1.0
19-Feb,2,56,2176520000000.0,32621,A-CHILI GREEN TOLL,8.4,10.95,49.927
19-Feb,2,55,2165510000000.0,36833,MINI PASTRY,34.997,100.0,16.656
19-Feb,2,54,2155060000000.0,35407,LONG FINO X5,3.368,7.95,102.0
19-Feb,2,50,2110540000000.0,389583,ABA DRIED APRICOT,124.967,189.95,11.606
19-Feb,2,56,2176690000000.0,430140,A-ONION YELLOW,6.15,7.95,308.578
19-Feb,2,56,2000000000000.0,32598,RADISH RED,3.7,4.45,44.0
19-Feb,2,51,2122540000000.0,441324,KIRI CHEESE BASTERMA,57.0,67.95,66.698
19-Feb,2,57,2000000000000.0,357664,CHICKEN STRIPS SANDWICH,10.05,21.0,1.0
19-Feb,2,51,2122330000000.0,432583,EMNTAL CHEESE SWISS,393.3,489.95,1.724
19-Feb,2,55,2165820000000.0,442964,CINNAMON ROLL,6.5,14.95,2.0
19-Feb,2,56,6224010000000.0,490233,NABAT OAKLEAF LETTUCE RED,18.7,21.95,6.0
19-Feb,2,56,2176270000000.0,32484,A-LEMON SEEDLESS,9.75,9.95,42.653
19-Feb,2,56,2176650000000.0,32648,PEAS,16.0,17.95,31.514
19-Feb,2,57,2000000000000.0,357669,HOT DOG SANDWICH,6.0,11.0,64.0
19-Feb,2,50,2110060000000.0,318619,HALWANI MEAT BF LNCHON,110.0,124.95,8.325
19-Feb,2,57,2000000000000.0,401391,COKE LIGHT 355 ML,4.46,7.0,29.0
19-Feb,2,50,2110620000000.0,483084,FLEX SEEDS,29.963,39.95,18.084
19-Feb,2,56,2000000000000.0,445333,ORANGE NAVEL 8KG CARTON,27.0,29.95,2.0
19-Feb,2,51,2122220000000.0,432572,GRANA BADANO CHEESE,259.0,324.95,3.581
19-Feb,2,53,2144290000000.0,335104,SALT.SARD.VAC,61.0,74.95,2.827
19-Feb,2,54,2155050000000.0,35391,KAYSER PLAIN X5,3.368,7.95,9.0
19-Feb,2,51,2122320000000.0,447158,FARM-GOUDA SMOKED,110.0,129.95,2.329
19-Feb,2,50,6224000000000.0,390606,HONEY DATES 350 GM ( JAR),15.0,18.95,61.0
19-Feb,2,50,2110330000000.0,376877,QARNATION CUCUMBER,85.165,119.95,14.766
19-Feb,2,50,2110640000000.0,483109,VALUE MIX,164.963,219.95,0.064
19-Feb,2,50,2110450000000.0,483073,CORN CHEESE FLAVOR,78.914,119.95,3.036
19-Feb,2,52,6223000000000.0,337707,SHAHD CHICKEN GIZZERD,24.75,29.95,8.0
19-Feb,2,54,2155040000000.0,486535,N.CHOCOLATE PATE,6.3,8.95,111.0
19-Feb,2,50,2111100000000.0,421649,WHOLE DUCK/KG,55.0,74.95,6.1
19-Feb,2,53,2144000000000.0,33816,VIRGINIA FISH,65.0,74.95,2.453
19-Feb,2,50,2110490000000.0,389721,NIGELLA SATIVA,41.213,54.95,12.526
19-Feb,2,57,2000000000000.0,357757,EXPRESSO DOUBLE,9.5,18.0,2.0
19-Feb,2,50,2110600000000.0,483595,CASHEW SMOKED FLAVOR,319.046,484.95,1.513
19-Feb,2,56,2176640000000.0,293014,A-CARROT GRADE A,6.0,7.45,0.245
19-Feb,2,56,6224010000000.0,429873,XP CABBAGE WHITE,8.5,11.95,12.0
19-Feb,2,54,2155310000000.0,295183,DONUTS ASSORTED X2,4.746,9.5,22.0
