from_date,department,section,barcode,item_num,item_description,purchase_price,selling_price,quantity
2024-02-19,Produits laitiers,52,2133000000000.0,31776,Lait Centrale,98.0,108.95,5.433
2024-02-19,Tapicerie,57,2000000000000.0,361939,Couscous,1.637,4.0,69.0
2024-02-19,Charcuterie,52,6223000000000.0,337701,Khlii,42.0,49.95,6.0
2024-02-19,Boulangerie,50,2110930000000.0,298974,Pain traditionnel,7.0,9.95,1.0
2024-02-19,Fruits et legumes,51,2122710000000.0,30596,Dattes Medjool,36.0,43.95,44.672
2024-02-19,Boissons,51,2122700000000.0,332646,Jus d'orange frais,58.0,69.95,19.152
2024-02-19,Tapicerie,50,2111020000000.0,330823,Huile d'olive,2.997,6.95,17.0
2024-02-19,Produits laitiers,56,2176680000000.0,32761,Yaourt nature,49.0,57.95,61.246
2024-02-19,Hygiene,56,2176670000000.0,32882,Savon noir,6.75,7.95,74.203
2024-02-19,Produits laitiers,54,2155030000000.0,486521,Fromage Jben,7.75,10.95,79.871
2024-02-19,Fruits et legumes,50,2111070000000.0,137737,Poivrons rouges,84.8,120.95,2.088
2024-02-19,Tapicerie,52,2133010000000.0,31784,Semoule fine,32.0,35.95,1.125
2024-02-19,Produits laitiers,56,2176510000000.0,32615,Lait Centrale,16.0,18.95,442.501
2024-02-19,Tapicerie,52,2133500000000.0,426178,Couscous,84.0,89.95,216.871
2024-02-19,Charcuterie,56,6224010000000.0,32603,Khlii,8.0,11.95,22.0
2024-02-19,Boulangerie,50,2110550000000.0,389592,Pain traditionnel,72.336,109.95,3.471
2024-02-19,Fruits et legumes,51,2122620000000.0,344176,Dattes Medjool,155.0,239.95,0.288
2024-02-19,Boissons,54,2155020000000.0,486517,Jus d'orange frais,1.1,1.6,700.0
2024-02-19,Tapicerie,56,2000000000000.0,32585,Huile d'olive,3.85,4.75,44.0
2024-02-19,Produits laitiers,50,2110500000000.0,389730,Yaourt nature,17.963,23.95,25.618
2024-02-19,Hygiene,54,2155030000000.0,486523,Savon noir,12.25,17.95,18.822
2024-02-19,Produits laitiers,55,2165950000000.0,299515,Fromage Jben,13.178,26.95,34.0
2024-02-19,Fruits et legumes,51,2122090000000.0,345956,Poivrons rouges,21.21,29.95,0.618
2024-02-19,Tapicerie,50,2111020000000.0,330825,Semoule fine,3.325,6.95,58.0
